title,author,price,original_price,url,website,isbn,description,image_url,publisher,year,category,date_parsed
Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие,"Заяц, Логачев",2686,2 686 ₽,https://www.labirint.ru/books/952663/,labirint,978391116988,"Лань: 

Компьютеры и программное обеспечение, 2023. Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие",https://imo10.labirint.ru/books/952663/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Программирование микропроцессорных систем на языке С-51. Учебное пособие,Микушин Александр Владимирович,1221,1 221 ₽,https://www.labirint.ru/books/952665/,labirint,978271666379,"Лань: 

Компьютеры и программное обеспечение, 2023. Программирование микропроцессорных систем на языке С-51. Учебное пособие",https://imo10.labirint.ru/books/952665/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО,Микушин Александр Владимирович,381,381 ₽,https://www.labirint.ru/books/952676/,labirint,978173728392,"Лань: 

Компьютеры и программное обеспечение, 2023. Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО",https://imo10.labirint.ru/books/952676/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО,"Борзунов, Кургалин",1439,1 439 ₽,https://www.labirint.ru/books/951701/,labirint,978707199735,"Лань: 

Компьютеры и программное обеспечение, 2023. Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО",https://imo10.labirint.ru/books/951701/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
GPT-3. Руководство по использованию API Open AI,"Кублик, Сабу",2537,2 537 ₽,https://www.labirint.ru/books/945154/,labirint,978156573377,"ДМК-Пресс, 2023. GPT-3. Руководство по использованию API Open AI",https://imo10.labirint.ru/books/945154/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Docker Compose для разработчика,Гадзурас Эммануил,3805,3 805 ₽,https://www.labirint.ru/books/941849/,labirint,978329917247,"ДМК-Пресс, 2023. Docker Compose для разработчика",https://imo10.labirint.ru/books/941849/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,"Пылов, Дягилева, Майтак",1900,1 900 ₽,https://www.labirint.ru/books/942918/,labirint,978235307351,"Инфра-Инженерия, 2023. Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография",https://imo10.labirint.ru/books/942918/cover.jpg/363-0,Инфра-Инженерия,2023,Фантастика,2026-01-20 01:40:57
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,924,924 ₽,https://www.labirint.ru/books/939430/,labirint,978549379552,"Техносфера: 

Мир программирования, 2023. Анализ алгоритмов. Активный обучающий подход",https://imo10.labirint.ru/books/939430/cover.jpg/363-0,"Техносфера: 

Мир программирования",2023,Фантастика,2026-01-20 01:40:57
Цифровая обработка изображений,"Гонсалес, Вудс",2744,2 744 ₽,https://www.labirint.ru/books/939584/,labirint,978941878218,"Техносфера: 

Мир цифровой обработки, 2023. Цифровая обработка изображений",https://imo10.labirint.ru/books/939584/cover.jpg/363-0,"Техносфера: 

Мир цифровой обработки",2023,Фантастика,2026-01-20 01:40:57
Цифровые видеоинформационные системы. Теория и практика,"Дворкович, Дворкович",2240,2 240 ₽,https://www.labirint.ru/books/939586/,labirint,978929614556,"Техносфера: 

Мир цифровой обработки, 2023. Цифровые видеоинформационные системы. Теория и практика",https://imo10.labirint.ru/books/939586/cover.jpg/363-0,"Техносфера: 

Мир цифровой обработки",2023,Фантастика,2026-01-20 01:40:57
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко, Чуриков",1365,1 365 ₽,https://www.labirint.ru/books/939587/,labirint,978188288472,"Техносфера: 

Мир цифровой обработки, 2023. Цифровая обработка сигналов атомарными функциями и вейвлетами",https://imo10.labirint.ru/books/939587/cover.jpg/363-0,"Техносфера: 

Мир цифровой обработки",2023,Фантастика,2026-01-20 01:40:57
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,3640,3 640 ₽,https://www.labirint.ru/books/936301/,labirint,978239176950,"Бомбора: 

Мировой компьютерный бестселлер, 2023. Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка",https://imo10.labirint.ru/books/936301/cover.jpg/363-0,"Бомбора: 

Мировой компьютерный бестселлер",2023,Фантастика,2026-01-20 01:40:57
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей,"Антонопулос, Осунтокун, Пикхардт",6343,6 343 ₽,https://www.labirint.ru/books/935200/,labirint,978789153991,"ДМК-Пресс, 2023. Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей",https://imo10.labirint.ru/books/935200/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Алгоритмы,Эриксон Джефф,6343,6 343 ₽,https://www.labirint.ru/books/934318/,labirint,978356791116,"ДМК-Пресс, 2023. Алгоритмы",https://imo10.labirint.ru/books/934318/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,4757,4 757 ₽,https://www.labirint.ru/books/929724/,labirint,978111938806,"ДМК-Пресс, 2023. Разработка веб-приложений GraphQL с React, Node.js и Neo4j",https://imo10.labirint.ru/books/929724/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,2051,2 051 ₽,https://www.labirint.ru/books/907454/,labirint,978457195711,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие",https://imo10.labirint.ru/books/907454/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,2051,2 051 ₽,https://www.labirint.ru/books/907458/,labirint,978670919797,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие",https://imo10.labirint.ru/books/907458/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,5393,5 393 ₽,https://www.labirint.ru/books/900476/,labirint,978848580071,"ДМК-Пресс, 2023. Asyncio и конкурентное программирование на Python",https://imo10.labirint.ru/books/900476/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,4915,4 915 ₽,https://www.labirint.ru/books/900479/,labirint,978603779836,"ДМК-Пресс, 2023. Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов",https://imo10.labirint.ru/books/900479/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,"Поляков, Иванов",3826,3 826 ₽,https://www.labirint.ru/books/896566/,labirint,978644405758,"Лань, 2023. Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие",https://imo10.labirint.ru/books/896566/cover.jpg/363-0,Лань,2023,Фантастика,2026-01-20 01:40:57
Эффективное тестирование программного обеспечения,Аниче Маурисио,5710,5 710 ₽,https://www.labirint.ru/books/896017/,labirint,978643926778,"ДМК-Пресс, 2023. Эффективное тестирование программного обеспечения",https://imo10.labirint.ru/books/896017/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,2733,2 733 ₽,https://www.labirint.ru/books/879343/,labirint,978114966301,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",https://imo10.labirint.ru/books/879343/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Моделирование систем управления. Учебник для вузов,"Семенов, Юрков",3277,3 277 ₽,https://www.labirint.ru/books/845025/,labirint,978330204527,"Лань: 

Компьютеры и программное обеспечение, 2023. Моделирование систем управления. Учебник для вузов",https://imo10.labirint.ru/books/845025/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Введение в программирование и структуры данных,"Фислер, Кришнамурти, Политц",4757,4 757 ₽,https://www.labirint.ru/books/868323/,labirint,978179324025,"ДМК-Пресс, 2023. Введение в программирование и структуры данных",https://imo10.labirint.ru/books/868323/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев, Заяц",2686,2 686 ₽,https://www.labirint.ru/books/762546/,labirint,978333682892,"Лань: 

Учебники для вузов. Специальная литература, 2023. Введение в гибридные технологии разработки мобильных приложений. Учебное пособие",https://imo10.labirint.ru/books/762546/cover.jpg/363-0,"Лань: 

Учебники для вузов. Специальная литература",2023,Фантастика,2026-01-20 01:40:57
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,4123,4 123 ₽,https://www.labirint.ru/books/864338/,labirint,978558220602,"ДМК-Пресс, 2023. Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI",https://imo10.labirint.ru/books/864338/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,1968,1 968 ₽,https://www.labirint.ru/books/855003/,labirint,978534855484,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Визуальные редакторы. Учебное пособие для СПО",https://imo10.labirint.ru/books/855003/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,1738,1 738 ₽,https://www.labirint.ru/books/855004/,labirint,978347550352,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Визуальные редакторы. Учебное пособие для вузов",https://imo10.labirint.ru/books/855004/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,3372,3 372 ₽,https://www.labirint.ru/books/801535/,labirint,978680667461,"Лань: 

Математика, 2023. Вероятностное программирование. Учебное пособие",https://imo10.labirint.ru/books/801535/cover.jpg/363-0,"Лань: 

Математика",2023,Фантастика,2026-01-20 01:40:57
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,1884,1 884 ₽,https://www.labirint.ru/books/845328/,labirint,978879396234,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript.Как писать программы.Учебное пособие для вузов",https://imo10.labirint.ru/books/845328/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,1884,1 884 ₽,https://www.labirint.ru/books/845329/,labirint,978158468043,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript.Как писать программы Учебное пособие для СПО",https://imo10.labirint.ru/books/845329/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Python для всех,Северанс Чарльз Р.,2219,2 219 ₽,https://www.labirint.ru/books/834613/,labirint,978268875570,"ДМК-Пресс, 2023. Python для всех",https://imo10.labirint.ru/books/834613/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Гид Java-разработчика. Проектно-ориентированный подход,"Урма, Уорбэртон",1802,1 802 ₽,https://www.labirint.ru/books/834110/,labirint,978366339995,"Бомбора: 

Мировой компьютерный бестселлер, 2023. Гид Java-разработчика. Проектно-ориентированный подход",https://imo10.labirint.ru/books/834110/cover.jpg/363-0,"Бомбора: 

Мировой компьютерный бестселлер",2023,Фантастика,2026-01-20 01:40:57
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,8065,8 065 ₽,https://www.labirint.ru/books/832441/,labirint,978230876428,"Диалектика, 2023. PHP 8. Объекты, шаблоны и методики программирования",https://imo10.labirint.ru/books/832441/cover.jpg/363-0,Диалектика,2023,Фантастика,2026-01-20 01:40:57
Введение в логическое программирование,"Дженесерет, Чаудри",3487,3 487 ₽,https://www.labirint.ru/books/831911/,labirint,978167336215,"ДМК-Пресс, 2023. Введение в логическое программирование",https://imo10.labirint.ru/books/831911/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,2607,2 607 ₽,https://www.labirint.ru/books/830645/,labirint,978977091989,"Лань: 

Компьютеры и программное обеспечение, 2023. Исследование операций в экономике. Практикум. Учебное пособие для вузов",https://imo10.labirint.ru/books/830645/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,1594,1 594 ₽,https://www.labirint.ru/books/829651/,labirint,978130429536,"Лань: 

Компьютеры и программное обеспечение, 2023. Программные коллекции данных. Проектирование и реализация. Учебник",https://imo10.labirint.ru/books/829651/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,1594,1 594 ₽,https://www.labirint.ru/books/829652/,labirint,978647761606,"Лань: 

Компьютеры и программное обеспечение, 2023. Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО",https://imo10.labirint.ru/books/829652/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Clojure на производстве,Гришаев Иван,3172,3 172 ₽,https://www.labirint.ru/books/828723/,labirint,978452941873,"ДМК-Пресс, 2023. Clojure на производстве",https://imo10.labirint.ru/books/828723/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Изучаем SHINY,Уикем Хэдли,5075,5 075 ₽,https://www.labirint.ru/books/828725/,labirint,978135802233,"ДМК-Пресс, 2023. Изучаем SHINY",https://imo10.labirint.ru/books/828725/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Сети 6G. Путь от 5G к 6G глазами разработчиков,"Тонг, Ахаваин, Чжу",7296,7 296 ₽,https://www.labirint.ru/books/828099/,labirint,978180017067,"ДМК-Пресс, 2023. Сети 6G. Путь от 5G к 6G глазами разработчиков",https://imo10.labirint.ru/books/828099/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева, Громова",448,448 ₽,https://www.labirint.ru/books/825689/,labirint,978218543985,"Прометей, 2023. Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат",https://imo10.labirint.ru/books/825689/cover.jpg/363-0,Прометей,2023,Фантастика,2026-01-20 01:40:57
Проектирование цифровых образовательных ресурсов,"Коннова, Липагина, Постовалова",840,840 ₽,https://www.labirint.ru/books/825803/,labirint,978984398492,"Прометей, 2023. Проектирование цифровых образовательных ресурсов",https://imo10.labirint.ru/books/825803/cover.jpg/363-0,Прометей,2023,Фантастика,2026-01-20 01:40:57
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,1738,1 738 ₽,https://www.labirint.ru/books/821292/,labirint,978247444455,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Обработка событий на примерах. Учебное пособие",https://imo10.labirint.ru/books/821292/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:40:57
Программирование на PHP в примерах и задачах,Васильев Алексей,2075,2 075 ₽,https://www.labirint.ru/books/821219/,labirint,978693587969,"Эксмо-Пресс: 

Российский компьютерный бестселлер, 2023. Программирование на PHP в примерах и задачах",https://imo10.labirint.ru/books/821219/cover.jpg/363-0,"Эксмо-Пресс: 

Российский компьютерный бестселлер",2023,Фантастика,2026-01-20 01:40:57
Изучаем WinUI 3.0,Эшкрафт Элвин,3172,3 172 ₽,https://www.labirint.ru/books/820560/,labirint,978977545712,"ДМК-Пресс, 2023. Изучаем WinUI 3.0",https://imo10.labirint.ru/books/820560/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:40:57
"Python, Django и PyCharm для начинающих",Постолит Анатолий Владимирович,1333,1 333 ₽,https://www.labirint.ru/books/805904/,labirint,978481841966,"BHV: 

Для Начинающих, 2023. Python, Django и PyCharm для начинающих",https://imo10.labirint.ru/books/805904/cover.jpg/363-0,"BHV: 

Для Начинающих",2023,Фантастика,2026-01-20 01:40:57
"SQL для хранения, обработки и анализа данных","Туманов, Гайфуллин",1238,1 238 ₽,https://www.labirint.ru/books/815412/,labirint,978564538923,"Солон-пресс: 

Библиотека студента, 2023. SQL для хранения, обработки и анализа данных",https://imo10.labirint.ru/books/815412/cover.jpg/363-0,"Солон-пресс: 

Библиотека студента",2023,Фантастика,2026-01-20 01:40:57
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,1966,1 966 ₽,https://www.labirint.ru/books/646726/,labirint,978475461261,"Лань: 

Учебники для вузов. Специальная литература, 2023. Программная инженерия. Учебное пособие",https://imo10.labirint.ru/books/646726/cover.jpg/363-0,"Лань: 

Учебники для вузов. Специальная литература",2023,Фантастика,2026-01-20 01:40:57
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,4757,4 757 ₽,https://www.labirint.ru/books/929724/,labirint,978448581759,"ДМК-Пресс, 2023. Разработка веб-приложений GraphQL с React, Node.js и Neo4j",https://imo10.labirint.ru/books/929724/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:41:02
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,2607,2 607 ₽,https://www.labirint.ru/books/830645/,labirint,978223234459,"Лань: 

Компьютеры и программное обеспечение, 2023. Исследование операций в экономике. Практикум. Учебное пособие для вузов",https://imo10.labirint.ru/books/830645/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:41:02
JavaScript. Создание визуальных эффектов. Учебное пособие для СПО,Янцев Валерий Викторович,1379,1 379 ₽,https://www.labirint.ru/books/1015908/,labirint,978711949892,"Лань: 

Компьютеры и программное обеспечение, 2023. JavaScript. Создание визуальных эффектов. Учебное пособие для СПО",https://imo10.labirint.ru/books/1015908/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:41:02
Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО,"Борзунов, Кургалин",1439,1 439 ₽,https://www.labirint.ru/books/951701/,labirint,978768691453,"Лань: 

Компьютеры и программное обеспечение, 2023. Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО",https://imo10.labirint.ru/books/951701/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:41:02
Docker Compose для разработчика,Гадзурас Эммануил,3805,3 805 ₽,https://www.labirint.ru/books/941849/,labirint,978141175039,"ДМК-Пресс, 2023. Docker Compose для разработчика",https://imo10.labirint.ru/books/941849/cover.jpg/363-0,ДМК-Пресс,2023,Фантастика,2026-01-20 01:41:02
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,392,392 ₽,https://www.labirint.ru/books/955790/,labirint,978929031582,"Прометей, 2023. Линейное программирование. Часть 1. Учебное пособие для бакалавриата",https://imo10.labirint.ru/books/955790/cover.jpg/363-0,Прометей,2023,Фантастика,2026-01-20 01:41:02
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев, Хлебостроев",3436,3 436 ₽,https://www.labirint.ru/books/812475/,labirint,978833319484,"Лань: 

Компьютеры и программное обеспечение, 2023. C#. Алгоритмы и структуры данных. Учебное пособие для вузов",https://imo10.labirint.ru/books/812475/cover.jpg/363-0,"Лань: 

Компьютеры и программное обеспечение",2023,Фантастика,2026-01-20 01:41:02
